client,date,value
Cision,Nov-25,"Account : Cision
Project name: Cision PRN - Engineering Enablement
Month and year: Nov 2025
Key contributors: Rakesh Achar
Category / GenAI: GenAI
Category Description: PixelSense AI
Problem statement: Organizations manage large volumes of image and video assets, yet existing search capabilities rely on manual tagging and exact keyword matches. This results in low search accuracy, poor discoverability, and productivity loss. An AI-powered, semantic search solution is required to improve asset utilization and user efficiency.
Value solution (Mention LLMs, Tools used): PixelSense AI redefines multimedia search by letting users find images and videos using natural language, powered by the semantic intelligence of Google Vertex AI (Gemini).?
?
Reactive
/Proactive: Proactive
Impact: Order Processing duration reduced by 25% due to rapid selection of images by customers 

Added to Q1 2026 Backlog
Accion team Contribution: Idea, Implementation and presented by Accion Team.
Link to demo video of solution (if any): PixcelSenseAI.mp4"
Cision,Nov-25,"Account : Cision
Project name: Cision PRN - OMC 2.0
Month and year: Nov 2025
Key contributors: Ravi Numboori, Debashis Mondal, Somesh Patel, Vinayak Bagalkoti
Category / GenAI: GenAI
Category Description: Ampligent
Problem statement: Customer support and sales teams spend significant time responding to repetitive queries related to product details, pricing, and order status. Existing channels lack instant, self-service capabilities, leading to increased operational effort and slower response times. An AI-assisted chat solution is required to improve response efficiency, enhance user experience, and reduce dependency on manual support.
Value solution (Mention LLMs, Tools used): Ampligent is an AI-assisted chat feature for the Amplify application that can answer queries about Amplify
products, pricing, and customer order information. It is built using Google Conversational Agents.?
Reactive
/Proactive: Proactive
Impact: Personalized product recommendation leading to upsell revenue increase

Added to Q1 2026 Backlog
Accion team Contribution: Idea and presented by Cision. Implemented by Accion.
Client Appreciation (if any): Idea was nominated as 'Crowd Favourite - Winner'
Link to demo video of solution (if any): Ampligent.mp4"
Cision,Nov-25,"Account : Cision
Project name: Cision
Month and year: Dec 2024
Key contributors: Ravi Numboori

Category / GenAI: Gen AI
Category Description: Raw content converted to a Structured PR Article for Preview & Approval
Problem statement: Customers send required article content and often had to wait for the backend editorial team to manually process their press releases before they could see a preview for further corrections. Any missing critical sections (e.g., headline, dateline, contact information) were only identified during editorial review leading to further delay in publication.
Value solution (Mention LLMs, Tools used): Real-Time Press Release Preview and Validation
Extract Word document content to Markdown Format - (custom Development)
Use Google Gemini to parse Markdown content and identify key sections (Headline, sub headline, body, dateline, contact info).
Generate JSON output from AI and convert to HTML preview for real-time validation.
Expose an API with above functionality to consume in the UI.
Reactive
/Proactive: Proactive
Impact: Increase engagement and ready reccommendation reduces need for more content readiness from customers
Accion team Contribution: Research on Vertex AI"
Cision,Nov-25,"Account : Cision
Project name: Cision
Month and year: Dec 2024
Key contributors: Thiraviaraj
Category / GenAI: Gen AI
Category Description: Product Selection Recommendations (Geo, Subject, Industry)
Problem statement: Scenario:
Customers struggled to understand and select the right products for their press releases, such as US1 for nationwide coverage or Social for social media distribution. There was limited guidance to help them make informed choices to maximize reach and visibility.
Value solution (Mention LLMs, Tools used): Product Recommendations using AI
Train a machine learning model using historical press release data to analyze viewership and product performance and deployed in Vertex AI.
Expose the model through an API developed by the MLDC team.
Integrate the API into the application to display AI-driven product recommendations
Reactive
/Proactive: Proactive
Impact: Reduced drop off and increased user satisfaction
Accion team Contribution: Implementation of the UI only"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Nov-24
Key contributors: Abhinav, Shishir
Category / GenAI: AI/ML
Category Description: Enrolment predictions
Problem statement: LSAC aims to predict the likelihood of a student enrolling in a specific college once admitted. Additionally, it seeks to optimize the scholarship amount to enhance the chances of the student enrolling at that college.
Value solution (Mention LLMs, Tools used): Techniques used : 
Logistic Regression, Random Forest, XG Boost.
Attributes : High LSAT Score, CGPA, Gender, Scholarship, Distance, Type Long, Ethnicity, Instate, UG_Instate
Reactive
/Proactive: Reactive
Impact: Forecasting student enrollment in college and predicting scholarship opportunities.
Accion team Contribution: This is helping us in a long term to find the type of test takers, improved assessments and new students enrolling - A great start and lot more to come.
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAAH6prGXUsTLClWRub2Qj_ATo32LKO8shcKK7z-Zy9BeU?e=XOI9wX


Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQA2zDgWH2UbToXOvqt7PqELAUc_W1nE4ucIH1bIdCdbxS8?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=lpGbjp"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Ganesh Nagarkoti, Saurabh Deotale,
Shishir
Category / GenAI: GenAI
Category Description: AI-Powered Web Accessibility Audits
Problem statement: Manual testing and rule-based tools catch visible issues, but only automated DOM-level auditing provides exhaustive, contextual analysis to uncover hidden, structural, and systemic accessibility problems at scale.
Value solution (Mention LLMs, Tools used): Accessibility automated report generation using :
Ollama, WCAG guidelines
Reactive
/Proactive: Proactive
Impact: * Reduces manual effort and human error?
* Detects hidden and structural accessibility issues?
* Flexible for local, CI/CD, and enterprise usage
Accion team Contribution: R&D done from Accessibility team for Accessibility Automation as a primary constraint
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAXLP0GjDiGQb56onNsBNJbAflvABYTBRgd0osseKjP36k?e=PZjDSg
Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQBZiucMhx0xSq_bH_EH8Mu_AZElvSU5y2s1nddVbsAfwd0?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=01zbQm"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Abhinav, Chandan Gowda, Shishir
Category / GenAI: GenAI
Category Description: Healthcare Agents

(Looks interesting, pls add more details on the agents, workflow details)
Problem statement: End-to-End Healthcare solution agents
Value solution (Mention LLMs, Tools used): Microsoft Copilot studio, Google Copilot studio
Reactive
/Proactive: Proactive
Impact: * Reduces manual efforts on operations
Accion team Contribution: * Understood the problems/usecases on helathcare
* Intelligent, AI-Driven assistants which can automate workflows, provide real-time support to patients and staff and enable haelthcare team to focus on quality care rather than operations.
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAJMLXKnKkfRYTDPf5vF0J_AUJw_0MQaRj0EYzg0WIwfl0?e=sFja5g
Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQBNmHzr0OtoTJaH9VqCS_oyAbntjZAMPbdGuf6J6eUOHu8?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=JHuOHO"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Phurkan Ali
Category / GenAI: GenAI
Category Description: Program Agents
Problem statement: Program Agents which can :
* Automate the meetings
* Keep the repository updated with session recordings, transcripts, Attendance etc
* Throw all the bots out of meeting and remove their attendances.
* Removing manual processes of any SM
Value solution (Mention LLMs, Tools used): Ollama/Gemini
Reactive
/Proactive: Proactive
Impact: Reduces management efforst in doing manual works.
Accion team Contribution: Created bots to fix the problems"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Pavan Kumarh
Category / GenAI: AI
Category Description: SRE Agent
Problem statement: Limited real-time visibility into LSAT Production health for Multiple Choice (MC) and Written Test (WS) exam user flows.
Value solution (Mention LLMs, Tools used): Implemented synthetic automation for MC & WS flows; JSON results stored as tables in Azure Log Analytics Workspace, queried via KQL, and integrated into Grafana dashboards. Tools: Selenium, Azure Log Analytics Workspace, KQL, Grafana.
Reactive
/Proactive: Proactive
Impact: Faster issue detection, reduced MTTR, and improved production reliability.
Accion team Contribution: Built synthetic scripts, enabled JSON-to-table ingestion in Azure Log Analytics Workspace, and integrated dashboards in Grafana.
Client Appreciation (if any): Client appreciated improved observability and proactive monitoring."
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Aditya Mukkawar
Category / GenAI: AI
Category Description: Report generation
Problem statement: The report generation API was fetching all school records and calculating job scores at runtime, resulting in very high Cosmos DB RU consumption and slow response times. This API is used in ~80% of user interactions, directly impacting user experience.
Value solution (Mention LLMs, Tools used): Redesigned the flow to pre-calculate job scores for all schools during onboarding and store them in Cosmos DB. Introduced a new getUserJobScores query to fetch precomputed data instead of recalculating at runtime. Maintained a school version in the job score document to trigger recalculation when school data changes.
Tools: Azure Cosmos DB, .NET APIs, Application Insights for RU and performance analysis.
Reactive
/Proactive:  Reactive
Impact: RU consumption reduced, PI response time improved by approximately 11x, Significant performance improvement for an API handling ~80% of LST user traffic
Accion team Contribution: Performed analysis to identify high RU usage, implemented the required changes, and validated the performance improvements using telemetry and logs."
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture
Month and year: Dec-25
Key contributors: Subramani Jyoti,Ashish Gupta, Avinash Sharma , Sunil Ganar
Category / GenAI: UX  & Automation
Category Description: 360 degree visualization  using AR, VR, MR and AI
Problem statement: Today, most buyers make  vehicle procurement decisions using 2D images/pictures on websites. This is not immersive, and does not give them a real experience of how the actual vehicle looks. Our solution, based on  AI, AR, MR, & VR is built to provide true, immersive 360 degree visualization of vehicles in realtime, for potential buyers to take a more educated call when buying pre-owned vehicles
Value solution (Mention LLMs, Tools used): - Virtual Reality Devices
- AI
- Mixed Reality
- Augmented Reality
This solution provides a real-time look and feel of the vehicle, and helps the buyer experience the vehicle virtually 
Reactive
/Proactive: Proactive
Impact: - Quick Buying decisions - reduce the need for multiple visits to the showroom for decisioning
- Father reach - Dealers can sell vehile to buyers in other states/counties, helping reduce inventory faster
- Buyers can see every nook and corner and cen drilldown quickly for buying decisions
Accion team Contribution: Complete conceptualization and delivery by Accion Team
Client Appreciation (if any): This was demoinstrated to the client when they were in the Accion facilities, and this received glowing tributes. "
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture
Month and year: Dec-25
Key contributors: Deepesh Shah, Harish Reddy
Category / GenAI: Migration, Upgrade
Category Description: Elastic Search to OpenSearch Upgrade
Scalable, reusable, zero-downtime framework
Problem statement: Elasticsearch 2.3 ?reached end-of-life?
Security and operation risks?
2400+ dealers, 750+ GB data?
Zero down time business requirement.? (100% uptime)
Value solution (Mention LLMs, Tools used): Migration from Elasticsearch 2.3 to OpenSearch 2.11?
AWS Cloud Platform?
Generic ETL based migration framework?
Improved security, performance and cost?
Reusable ETL framework?
Batch based dealer migration?
Parallel dual-run architecture?
Snapshot-driven rollback.?
Reactive
/Proactive: Reactive

Impact: We can easily extend our ETL
process and can make it more
generic to transfer data from
any source to any destination.
Accion team Contribution: Complete conceptualization and delivery by Accion Team
Client Appreciation (if any): This was demoinstrated to the client when they were in the Accion facilities, and this received glowing tributes. "
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - Ignition
Month and year: Jul-25
Key contributors: Midhun
Category / GenAI: Architecture
Category Description: Implement Circuit breaker Pattern in APIs
Problem statement: There was no Retry mechanish / rate limiting in customer facing APIs hence migrated existing API code to circuit breaker pattern to introduce Retry mechanish / rate limiting in customer facing APIs
Value solution (Mention LLMs, Tools used): Using circuit breaker pattern and Polly library
Reactive
/Proactive: Proactive 
Impact: Operational efficiency 
Accion team Contribution: Problem is reported by Client, but solution is proposed by Accion team"
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - ML
Month and year: Jun-25
Key contributors: Prathmesh, Trupti
Category / GenAI: New feature
Category Description: Tech Debt/Modernization

LeadVenture has two separate applications for VIN Decoding - one for Retail clients and the other for Wholesale clients.  The Accion Team recommended building APIs that check the two databases (as using a single database is not an option currently), when new VINs are created or updates were done. This has lead to huge time-savings (as the dealer does not have to check multiple places) and productivity and financial gains, leading to added revenue. Fetching the VIN data from a 3rd party data provider cost LV money, and this code helped save money by avoiding multiple hits to the 3rd party database. The VIN data was also reused helping improve revenue and margins.
Problem statement: We requests were ckecking with WholeSale & Retail servers for VIN details
Value solution (Mention LLMs, Tools used): VIN decoding, before ckecking with WholeSale & Retail server. Created new API to check the existing DB before hitting providers
Reactive
/Proactive: Reactive
Impact: It saves lot of cost due to reduced calls to wholesale and retail servers
Accion team Contribution: Problem statement came from LV but solution and implemention came from Accion team
Client Appreciation (if any): Verbal"
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - PSM
Month and year: Jul-25
Key contributors: Alok, Chandan, Manikanandan
Category / GenAI: Performance Optimization
Category Description: Tech Debt/Modernization
Problem statement: Lead hunter website landing page was taking about ~3 minutes to load
Value solution (Mention LLMs, Tools used): Earlier, the data was being calculated by joining multiple tables, some of which were located in different databases. This approach was inefficient and impacted performance.

To address this, we proposed running a scheduled job that fetches and consolidates the required data every 4 hours. The client application will then retrieve the information directly from this prefetched table, ensuring faster response times and reduced load on the underlying databases.

Implemented new architecture with CQRS pattern which gets its data from a flat seprate table with prefectched value. It works as deffered fetch as volume of data is in 200 Millions. The solution reduced the load time to less than 3 seconds.
Reactive
/Proactive: Reactive
Impact: Performance improved from 3 minutes to 3 seconds  a 1000% improvement in response time.
Accion team Contribution: Problem is reported by Client, but solution is proosed by Accion team
Client Appreciation (if any): AEM team already got appreciation from Tia (Product manager) and Damon (LV manager)"
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - PSM - DRS
Month and year: Jul-25
Key contributors: Kiran
Category / GenAI: Architecture
Category Description: Process Improvement 
Problem statement: Currently, the user deletion service is not restricted to a single execution. It may run concurrently across multiple instances of the by-users-service, which is not the intended behavior.
Value solution (Mention LLMs, Tools used): At any given time, only one instance of the user service should acquire the distributed lock and perform the stale user deletion.
All other instances should skip the deletion logic if the lock is already held. Redis is used as the distributed locking mechanism to coordinate this behavior.

The solution implemented ensures that the stale user deletion logic within the user service executes only once across multiple service instances in any given environment. This is to prevent race conditions and ensure data consistency in a microservices architecture.
Reactive
/Proactive: Reactive
Impact: Introduces a dependency on Redis for distributed locking.

No impact on other services or APIs.

No changes to user-facing functionality or data models.

Ensures smooth functioning of user deletion without deadlocks or race conditions.

Provides system predictability:

Guarantees only one service instance performs the deletion at a time.

Enables easy time tracking and log verification.
Accion team Contribution: Problem statement came from LV but solution and implemention came from Accion team"
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - PSM - DRS
Month and year: Jul-25
Key contributors: Anupeksha
Category / GenAI: Architecture
Category Description: Automation of email testing to enable large-scale enterprise emails using a low-cost 3rd party email service, helping the client to reduce cost and improve efficiency.
Problem statement: Email notifications were tested manually, which was slow, error-prone, and costly to scale. Market tools for automation were too expensive.
Value solution (Mention LLMs, Tools used): Developed a POC using the free gmail-tester plugin to automate Gmail notification checks and validate email subjects. The POC code is ready, and test case implementation is planned for Feb 2026
Reactive
/Proactive: Reactive
Impact: Cut manual effort, improved accuracy, and avoided licensing costs by leveraging an open-source solution.
Accion team Contribution: Both problem identification & solution is proosed by Accion team
Client Appreciation (if any): Discussions are in progress with LV team."
LeadVenture,Nov-25,"Account : LeadVenture
Project name: LeadVenture - PSM
Month and year: Aug-25
Key contributors: Alok, Navanit
Category / GenAI: Performance Optimization
Category Description: Tech debt/Modernization
Problem statement: Email sending feature is crashing at peak hours due to bottleneck of large volume table insertion
Value solution (Mention LLMs, Tools used): The PSM application uses SendGrid for sending emails. To track these emails, we log each record into a normalized table which also supports various reporting needs. Currently, this table holds ~700 million records.

The challenge was that direct insertions into this table were taking ~10 minutes for 5,000 records, and in some cases, the process would even crash due to the high indexing overhead.

Solution implemented:

Introduced a staging table without indexes to handle incoming inserts efficiently.

Data is then moved in batches from this staging table to the original normalized table.

This approach has significantly reduced insertion time and improved system stability for large-scale email tracking.
Reactive
/Proactive: Proactive 
Impact: Bottleneck is removed and email sending for 30000 records takes minutes only, Exponential improvment
Accion team Contribution: Both problem identification & solution is proosed by Accion team
Client Appreciation (if any): In Progress, planned Production date in September."
BrightQuery,Nov-25,"Account : BrightQuery
Project name: BrightQuery
Month and year: Oct-26
Key contributors: Aman, Mukunda, Eswar
Category / GenAI: GenAI
Category Description: Industry Prediction
Problem statement: Automated Industrial Classification via RAG-Enhanced LLMs This system automates the prediction of industry classifications based on company descriptions. By utilizing Retrieval-Augmented Generation (RAG) to query the 2022 Census NAICS database, the system provides Mistral 7B with precise context to determine the most accurate NAICS code.
Value solution (Mention LLMs, Tools used): Mistral-7B, Ollama
Reactive
/Proactive: Proactive
Impact: Improving Data Quality and Coverage ""This process focuses on cleansing datasets by removing inaccurate industry codes and augmenting incomplete profiles with AI-verified NAICS 2022 designations.""
Accion team Contribution: End-to-End"
BrightQuery,Nov-25,"Account : BrightQuery
Project name: BrightQuery
Month and year: Oct-26
Key contributors: Imran
Category / GenAI: GenAI
Category Description: Predicting the Legal Structure and Active/Inactive Status of Organizations Globally 
Problem statement: This work was developed using prompts to analyze and predict an organizations legal structure and operational status (active or inactive) across global jurisdictions. AI-driven insights were used to improve accuracy, consistency, and scalability in legal and business intelligence analysis.
Value solution (Mention LLMs, Tools used): ChatGPT; Prompt Engineering
Reactive
/Proactive: Proactive
Impact: Using ChatGPT significantly improved the projects efficiency and quality by accelerating research, refining problem definition, and enhancing prediction logic for legal structure and active/inactive status. It reduced manual effort, improved consistency across global data sources, and enabled faster iteration, resulting in more accurate, scalable, and well-documented outcomes.
Accion team Contribution: End-to-End"
BrightQuery,Nov-25,"Account : BrightQuery
Project name: BrightQuery
Month and year: Dec-26
Key contributors: Vineeta,
Sushil
Category / GenAI: GenAI
Category Description: QA Automation
Problem statement: Automation 1:
Automated the monthy regression checks for Factset & T2C. This helps in reducing the regression time as well helps to catch the bugs, record the execution logs & generate the report. This helps in Analysis & provides insight in the scope of enhancement & improvisation.

Automation 2:
Playwright has been greatly explored for scraping the web & to fetch the data. One of the prominent use of Playwright has been in building the Family tree of an org globally. This will help establish a concert data including the family tree of the org & helps in providing the mapping of the data
Value solution (Mention LLMs, Tools used): Python, Pytest & Playwright
Reactive
/Proactive: Proactive
Impact: Automation helps in various ways right from execution to greater level of analysis post execution with a clear capture of logs, screenshots & reports
Accion team Contribution: End-to-End
Client Appreciation (if any): Recognized for these approach & solutions. Been greatly appreciated"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Oct
Key contributors: Saket, Pushkar
Category / GenAI: Platform / Security
Category Description: Auth0 Tenant Data Synchronization
Problem statement: Multiple Auth0 tenants across environments led to inconsistent user data, configuration drift, and manual overhead during environment syncs.
Value solution (Mention LLMs, Tools used): Implemented automated Auth0 tenant data sync scripts to ensure consistent users, roles, permissions, and configurations across environments.
Reactive
/Proactive: Proactive
Impact: Reduced configuration errors, faster environment readiness, and improved security posture.
Accion team Contribution: Designed and implemented by Engineering"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Nov
Key contributors: Pushkar
Category / GenAI: Engineering Enablement / SDLC
Category Description: Script for Code Review Automation

(what tools were used - pls list)
Problem statement: Manual code reviews were time-consuming and inconsistent, leading to delayed feedback and potential quality gaps.
Value solution (Mention LLMs, Tools used): Developed reusable scripts to automate static code analysis, enforce coding standards, and highlight potential issues before PR reviews.
Reactive
/Proactive: Proactive
Impact: Improved code quality, reduced review cycle time, and increased developer productivity.
Accion team Contribution: Designed and implemented by Engineering"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Apr
Key contributors: Pushkar
Category / GenAI: Platform / Cloud Utilities  / SDLC
Category Description: AWS Utility Tooling
Problem statement: Engineers lacked a standardized way to manage and inspect AWS resources, leading to repetitive manual tasks and operational inefficiencies.
Value solution (Mention LLMs, Tools used): Built internal AWS utility tools to simplify common operational tasks such as resource inspection, cleanup, and environment validation.
Reactive
/Proactive: Proactive
Impact: Reduced operational effort and faster issue resolution across environments.
Accion team Contribution: Designed and implemented by Engineering"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Dec
Key contributors: QA & Engineering
Category / GenAI: QA / Test Automation / Gen Ai / SDLC
Category Description: Playwright Agents for Automated Testing
Problem statement: Manual and semi-automated testing resulted in longer regression cycles and delayed releases.
Value solution (Mention LLMs, Tools used): Implemented Playwright-based test agents to enable robust end-to-end automated testing across critical user journeys.
Reactive
/Proactive: Proactive
Impact: Improved test coverage, reduced regression time, and increased release confidence.
Accion team Contribution: Implemented by QA & Engineering"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Dec
Key contributors: Engineering Team
Category / GenAI: DevOps process / SDLC
Category Description: Trunk-Based Branching & Release Flow
Problem statement: Multiple long-lived branches caused merge conflicts, delayed releases, and inconsistent deployments.
Value solution (Mention LLMs, Tools used): Introduced trunk-based development with a streamlined release flow to promote smaller commits, faster merges, and predictable releases.
Reactive
/Proactive: Proactive
Impact: Faster release cycles, reduced merge conflicts, and improved deployment stability.
Accion team Contribution: Designed and implemented by Engineering"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Nov
Key contributors: DevOps Team
Category / GenAI: Observability
Category Description: Grafana Dashboards & Teams Alerts Integration
Problem statement: Lack of real-time visibility and delayed incident awareness impacted response time for production issues.
Value solution (Mention LLMs, Tools used): Implemented Grafana dashboards with automated alerts integrated into Microsoft Teams for real-time monitoring and notifications.
Reactive
/Proactive: Proactive
Impact: Improved system observability, faster incident response, and reduced downtime.
Accion team Contribution: Implemented by DevOps"
NPI,Nov-25,"Account : NPI
Project name: NPI
Month and year: 25-Dec
Key contributors: Raktim
Category / GenAI: Operation / SDLC
Category Description: Setting up new Jira workflow. Execution plan, operation.
Problem statement: The old Jira board was messed up with junk work items. It was difficult to control sprint.
Value solution (Mention LLMs, Tools used): Created fresh project boards, 2 in Kanban and 1 in Scrum. These boards produces clear Sprint goals, metrics, clean backlog.
Reactive
/Proactive: Proactive
Impact: Better visibility, metrics extraction
Accion team Contribution: End-2-End."
